id,affinity
1q9d,4.6
3l6h,5.4
1m5e,7.7
5ok6,5.05
4qp1,3.61
1nju,7.3
6dpy,4.1
3n87,4.96
6aps,6.66
1rdj,1.66
2pwc,6.57
2vpo,5.42
5tzo,5.23
3bhx,9.15
1t1r,5.4
6mji,7.29
6idb,6.4
3gf2,1.7
6s4n,6.79
5kre,7.23
1mik,6.35
3jsi,8.68
6n4b,10.01
1qy2,5.74
5sz2,8.7
2b1g,6.64
4rwl,8.1
4pp7,7.96
5ll7,5.61
1kzn,8.92
3ixg,7.57
4z2p,4.6
3nes,5.62
5unp,10.02
5ddc,7.04
5ktw,7.52
2lct,5.14
6q4g,4.3
6n3e,4.72
6hke,7.68
1bhx,6.84
6b0v,3.49
5h22,7.44
4qvx,11.0
5dtq,3.86
6ba7,8.15
3aza,5.13
2d06,4.08
5v8v,8.89
3r0t,9.04
3zs1,6.4
2wc4,5.29
6g33,8.15
4nrt,6.0
5jxq,8.15
3c14,3.52
1h0w,4.89
5cuh,4.62
2bt9,6.19
1c5t,4.1
5zqo,7.71
4qgd,7.43
5e0l,6.4
1b8o,10.64
5am2,5.01
1z3v,4.11
3dp2,5.82
4xy9,5.33
5y9l,5.72
4y59,5.24
4hvb,9.95
2vjx,4.96
3m3r,6.32
4h5d,7.55
3g15,7.0
2hfp,8.52
2hvc,8.82
5v9p,6.14
5enh,3.72
3zjc,5.05
6rni,9.4
1utz,5.85
6gy0,7.32
5hka,6.46
6np4,4.44
4xs2,5.82
4ipn,3.39
5trk,5.21
5drs,8.96
3lj3,9.03
3omm,7.43
2ot1,4.0
6njh,3.69
4mw5,7.35
6plg,7.82
5nk3,7.42
4ido,4.93
5bnr,6.28
6ten,9.77
5cjf,9.59
5ekm,6.32
2vcq,6.04
1elr,4.96
6nm4,7.06
2x38,6.89
2ooz,5.15
4k8s,7.44
3qqu,8.62
4uu5,5.04
6i8t,5.75
6p87,4.6
5mes,6.47
1d3q,6.54
5za9,6.74
5wjj,6.62
6c7w,5.47
4rlw,4.87
5ett,6.23
5xof,4.01
2w3l,7.52
6n7y,5.11
4qwr,5.93
4fck,1.26
3wqw,5.23
5zlf,3.48
3qxd,6.15
5vkm,3.55
6gjm,3.58
3v30,3.74
4o76,6.89
5bwb,5.3
1cx9,6.75
5nk4,8.7
3iss,6.05
4k2y,3.33
4tte,3.69
4h3j,7.05
4psb,4.64
5ivv,6.35
1rt2,8.22
5uxn,4.64
6o9d,8.7
4uuh,7.77
4dn0,5.72
5wad,8.11
2ynn,5.17
3nyd,3.48
1azl,8.62
2vvc,8.52
3muf,6.49
3th0,4.12
6ela,7.59
1swg,7.36
1pzo,3.32
4nat,6.48
5ka1,4.48
6ob0,4.96
4ijq,7.52
5y1u,5.12
2ql5,8.1
4i0f,6.35
4nyt,2.39
2oph,7.8
5l3g,6.23
1hi3,4.19
3qd0,8.5
5vds,3.3
1vyf,8.05
6hot,4.4
1ody,8.1
3spf,3.86
6q9l,8.41
2r3t,5.85
4pb2,4.8
6o57,6.29
5nat,4.7
3luo,6.95
4ql1,7.03
1tvr,7.48
3bgl,8.35
3t1l,3.26
2xwe,6.02
4z0q,8.17
3sm2,9.7
3q72,5.8
2uwo,8.7
3mvj,5.49
1zpa,8.4
2yk1,8.13
3mrv,3.74
1mm6,7.7
3ds1,5.7
4xmb,7.36
3hlo,6.21
3unn,4.4
5t54,9.06
2psx,5.77
4qp6,3.46
5m3a,5.7
4utr,6.15
3aid,6.86
4zzy,5.6
2zkj,5.48
4men,3.9
4ahv,1.82
5qao,3.62
4eh2,3.16
6gmd,3.69
2wbd,6.64
2y7k,4.93
5yv5,5.41
5uig,7.95
2r5q,8.57
4k9g,5.82
6iez,6.52
1lvc,6.0
2a4l,6.4
3fhb,5.7
4r4i,6.27
1ouk,9.89
5a4l,5.41
2l6j,6.26
4r91,6.37
2xto,6.2
1flr,10.0
5v42,6.62
1qbo,7.74
5xag,5.46
3bux,5.63
1gai,8.0
2kmx,4.08
5vqs,5.7
1fvt,7.22
3cs7,10.68
5xo7,6.36
2ddf,7.39
5ito,4.16
5ets,5.91
2p1c,7.68
4kup,5.22
5ar8,8.1
3msj,3.11
5vp0,9.21
2pk6,10.89
3eos,8.4
2i4j,6.16
5tzh,6.17
4b1d,7.49
4g9c,8.64
5ws3,8.96
4hw7,7.21
1uom,7.72
5ie1,6.85
1zpc,6.6
4xh6,5.57
4iaw,9.63
3ivc,4.12
5es1,8.34
6phr,6.7
5m6m,7.36
1mm7,7.7
5ddd,6.59
6u7o,10.81
2vcw,3.05
6e7u,6.92
5t6g,5.96
2fm0,9.4
5tbj,5.82
2df6,5.98
6qab,8.21
5jsg,4.85
3lkz,6.15
4gwi,3.69
5yzd,6.7
2ndg,4.71
3rcj,6.1
1ke9,6.18
4zz2,8.04
6p10,5.22
5kau,6.52
6me1,7.92
5n53,2.55
5k5n,8.05
4u91,6.83
4a9r,7.8
2cll,4.3
2j9n,4.7
3cwk,6.6
6g3o,9.24
4qbb,7.52
2vwx,7.4
2vw2,3.3
4pyn,4.52
5ahj,8.23
2p93,8.82
4z0u,5.7
1ijr,5.44
1bmn,8.44
6iyw,7.23
5knr,5.85
3piz,5.46
2yof,4.6
5bvk,4.0
1owj,7.32
1ih0,5.0
5kjn,7.77
5za2,5.77
6fzj,6.33
6f92,6.4
5nvh,7.82
2g1y,7.05
5eb3,1.45
4jj7,6.4
2bo4,4.61
1kv2,10.0
2idw,8.89
2w6m,4.67
1ogx,6.09
4p75,4.1
4ux4,7.01
4luv,2.85
5jjr,7.8
5hgc,8.66
2wbb,6.04
5h9p,7.17
3kjd,8.54
6r1a,4.35
5t8r,4.29
4hxw,8.7
5w13,7.66
5lpk,5.51
2ez5,5.52
1oss,4.79
3ce0,6.15
5auy,5.8
2viw,7.14
1hpv,9.22
1yp9,5.11
1dub,5.8
4r5y,7.64
2bv4,3.22
6c5h,6.43
5wfc,4.9
3lq4,5.22
5d3n,5.04
5n20,4.21
1dth,8.22
4l0l,7.27
2f6v,4.43
4ask,7.22
6pk7,4.72
3efr,5.08
6i8l,6.41
4ocx,11.44
2xpa,5.39
4wrq,5.34
2iyf,3.75
4c4e,7.6
2wtj,6.15
1urw,8.52
1mzc,10.22
3zls,4.4
1agm,12.0
6o0h,8.15
4j26,5.44
3m54,5.89
2ycs,8.87
4gj2,8.6
3f8e,7.23
1nax,6.43
2ieh,6.96
4hw2,7.26
3l7g,3.3
2aoi,4.01
5lwn,7.77
6eil,5.55
5qtu,8.39
6afd,5.43
2yde,3.72
3dnj,6.82
6fzu,3.67
3sww,8.4
3t70,6.3
1rtl,5.59
5goe,4.34
6gjn,6.22
3cx9,4.89
3t0t,7.04
1km3,4.91
2ywp,8.15
2h2g,5.04
2a3b,3.33
3suf,7.56
3r5m,4.34
6gbw,8.45
5y8c,6.8
1hn2,6.0
4gah,6.1
5t8p,5.89
1b5g,8.0
6hwz,5.17
1leg,7.95
5j41,3.7
6e8k,6.04
5t4f,8.0
4wh9,3.0
1jr1,8.22
1yq7,7.09
4fnz,7.8
4usw,2.69
4avs,3.49
1aaq,8.4
3n5k,9.7
4k55,5.51
1kkq,6.62
1oiu,6.68
6g2l,7.17
4mdq,5.92
5v5e,5.52
5kk8,5.84
3f9n,5.89
2g5t,9.09
4btk,6.62
3uxk,4.93
1ow6,5.4
4e3g,4.97
4pz5,6.92
3gfw,7.57
5q1g,3.58
5o9o,4.89
4bek,4.39
4oru,3.68
5u11,5.35
4f39,5.7
4ogn,10.0
2x6k,5.64
5aqj,2.68
2r0z,5.47
3lp2,6.66
1azm,6.1
1qvt,4.38
4ynl,4.62
3vf5,9.34
2p0x,6.31
6d4v,6.64
5ye8,3.0
6n8y,5.38
5thi,3.61
4c4i,7.66
4b11,5.64
3cf8,4.9
6n92,4.97
3c6t,8.68
2qfo,4.7
2j4q,4.46
4w4y,6.46
5myd,4.86
2zq1,6.62
2brc,5.05
5fh6,5.92
4yxu,7.24
4jve,7.07
3a4p,7.55
4g0a,7.6
188l,3.33
5icy,5.06
2r4f,8.82
4bgh,8.4
6pht,3.41
1f92,6.19
6t6a,6.7
4hwt,4.3
3zv7,5.92
5t35,7.18
4k1e,8.44
3vhe,8.21
5nzq,2.03
3v4v,7.38
2f10,3.48
3c2u,2.9
1pxl,6.05
2f71,5.6
3fzs,5.82
3dst,9.08
4yx9,5.35
5vqz,6.39
3r02,9.0
2d41,6.82
3o5x,5.28
4npv,7.46
4udb,9.15
6cwn,6.65
3wtm,7.0
3poa,7.0
2va6,6.17
5otc,4.71
2p8s,7.68
3k0h,4.6
3tiz,3.82
1kcs,7.0
2vc9,8.44
4tmr,7.22
3tv6,8.32
2whp,4.0
5itd,6.58
3khv,1.85
1laf,7.85
3owl,6.17
3wf9,6.25
5hva,7.07
5mwz,5.15
5zoo,5.65
3qiz,5.21
5h5r,6.21
4ay6,5.12
5alu,7.66
4x7l,8.05
4nyi,3.06
4l7g,4.0
6prf,8.6
4r3w,3.0
3bze,6.0
2rjs,2.28
5eg4,7.68
2ya7,3.14
2ql7,6.26
6aaq,2.41
4dsy,4.43
6bgu,6.28
6keb,4.39
6n19,3.02
4xnw,7.74
6bmv,4.68
3su0,6.79
4pd7,3.92
4u2y,3.99
2q55,8.69
5fqs,7.36
5wbf,3.81
4fnn,7.57
4bti,9.7
5fao,7.96
5xsu,6.74
6hoy,4.48
3eqb,1.82
2znt,9.3
1z71,9.18
4yv2,7.29
2ovz,7.89
1s4d,6.49
5mqt,5.7
